sample_id	condition	timepoint	dose	batch
Sample_1	A	0 hr	0 mg	1
Sample_2	A	0 hr	0 mg	2
Sample_3	A	0 hr	0 mg	1
Sample_4	A	24 hr	0 mg	2
Sample_5	A	24 hr	0 mg	1
Sample_6	A	24 hr	0 mg	2
Sample_7	B	0 hr	0 mg	1
Sample_8	B	0 hr	0 mg	2
Sample_9	B	0 hr	0 mg	1
Sample_10	B	24 hr	0 mg	2
Sample_11	B	24 hr	0 mg	1
Sample_12	B	24 hr	0 mg	2
Sample_13	A	0 hr	10 mg	1
Sample_14	A	0 hr	10 mg	2
Sample_15	A	0 hr	10 mg	1
Sample_16	A	24 hr	10 mg	2
Sample_17	A	24 hr	10 mg	1
Sample_18	A	24 hr	10 mg	2
Sample_19	B	0 hr	10 mg	1
Sample_20	B	0 hr	10 mg	2
Sample_21	B	0 hr	10 mg	1
Sample_22	B	24 hr	10 mg	2
Sample_23	B	24 hr	10 mg	1
Sample_24	B	24 hr	10 mg	2
Sample_25	A	0 hr	20 mg	1
Sample_26	A	0 hr	20 mg	2
Sample_27	A	0 hr	20 mg	1
Sample_28	A	24 hr	20 mg	2
Sample_29	A	24 hr	20 mg	1
Sample_30	A	24 hr	20 mg	2
Sample_31	B	0 hr	20 mg	1
Sample_32	B	0 hr	20 mg	2
Sample_33	B	0 hr	20 mg	1
Sample_34	B	24 hr	20 mg	2
Sample_35	B	24 hr	20 mg	1
Sample_36	B	24 hr	20 mg	2
