""	"HCC3_BaP_C0_093_S93"	"HCC3_BaP_C0_094_S94"	"HCC3_BaP_C5_053_S53"	"HCC3_BaP_C5_054_S54"	"HCC3_CISP_C0_281_S281"	"HCC3_CISP_C0_282_S282"	"HCC3_CISP_C5_241_S241"	"HCC3_CISP_C5_242_S242"
"AARS_3"	918	837	649	375	2337	1473	473	315
"ABCB1_12"	565	562	155	153	472	332	238	143
"ABCC2_22"	3426	3112	822	352	5398	3780	2341	1526
"ABCC5_26"	631	557	505	287	1668	1104	730	495
"ABCF1_35"	514	432	409	193	526	419	466	263
"ABCF3_36"	104	66	54	39	297	253	125	90
"ABCG1_37"	2	1	5	0	5	0	0	2
"ABHD4_42"	27	28	8	5	51	34	20	0
"ABHD6_45"	249	266	105	67	595	370	325	118
"ABL1_46"	3	8	21	2	4	5	13	9
"ACAA1_48"	1651	1523	280	170	1585	1412	121	124
"ACAT2_56"	228	218	141	77	468	236	374	283
"ACBD3_59"	153	143	86	66	250	171	340	180
"ACD_60"	27	30	77	61	103	77	209	92
"ACLY_66"	142	133	82	101	122	71	188	129
"ACOT9_69"	1	3	0	7	10	1	11	12
"ACSL1_75"	470	461	163	76	409	244	253	147
"ACTN2_90"	7	1	1	1	0	6	0	0
"ADAM10_102"	3706	3395	1682	893	5874	4864	2195	1672
"ADAT1_113"	6	8	7	9	9	25	2	18
"ADCK3_114"	114	98	62	28	197	112	489	248
"ADH1A_126"	1297	1427	30	23	1462	1248	47	48
"ADH5_132"	205	212	247	149	318	199	560	363
"ADI1_135"	446	505	117	103	403	352	365	266
"ADO_144"	144	146	142	93	207	183	341	198
"ADRB2_151"	30	30	85	65	131	83	181	116
"ADSL_153"	21	14	0	15	24	11	16	20
"AFP_158"	274	238	316	198	588	573	524	393
"AGL_162"	92	104	61	32	126	87	124	77
"AHCY_174"	450	372	537	371	817	637	1467	752
"AIFM1_183"	311	333	209	104	391	237	236	199
"AKAP8_195"	970	1028	1049	575	1802	1235	1263	692
"AKAP8L_196"	18	24	43	40	50	7	101	42
"AKR1C3_203"	3255	2769	720	418	3401	1869	3447	2381
"ALB_217"	28222	30413	4468	2679	33204	21209	7086	5207
"ALDH2_225"	9963	10078	2041	1233	13202	8631	2437	1607
"ALDH7A1_227"	21	31	11	5	121	117	20	22
"ALDH9A1_231"	3004	3129	1879	1161	6052	4526	2238	1671
"ALDOA_232"	15153	13816	9693	7306	41205	34845	19806	14167
"ALDOC_233"	56	22	30	25	156	124	201	93
"ALG8_238"	371	340	384	247	275	302	414	339
"AMDHD2_248"	49	42	64	31	446	334	248	164
"AMY2A_256"	17	17	38	9	48	31	22	19
"AMZ2_260"	138	101	193	130	140	118	510	346
"ANKRD10_277"	1405	1195	1371	861	2272	1820	1538	965
"ANKRD20A13P_283"	909	763	912	417	4465	2349	790	575
"ANKRD36B_290"	4	16	19	11	64	56	41	22
"ANO10_292"	316	271	110	50	665	534	140	105
"ANXA2_304"	46030	42423	29828	19048	63376	52791	49541	35436
"ANXA2P2_305"	15635	12974	15415	10953	22379	14948	28827	21044
"ANXA7_312"	640	545	448	311	990	680	1068	748
"AP2M1_322"	83	85	115	91	188	130	187	121
"APBB2_336"	77	81	27	14	112	78	44	13
"APLN_345"	0	0	0	1	8	0	0	2
"APOE_358"	778	841	110	95	2549	2217	878	553
"APP_367"	2022	1972	823	443	2668	2286	401	298
"APPBP2_370"	493	473	440	304	536	474	723	373
"AQP3_373"	9	5	10	4	7	1	2	3
"AQP9_378"	364	376	5	3	433	304	106	71
"ARF4_391"	516	474	417	327	598	312	799	435
"ARFIP2_405"	102	102	59	33	167	146	160	90
"ARHGAP1_411"	86	52	74	76	138	101	236	164
"ARHGEF12_420"	4289	4318	2017	1267	5410	4129	2595	1759
"ARHGEF2_423"	70	91	261	172	221	210	458	214
"ARHGEF9_427"	0	4	1	0	0	3	3	0
"ARID4B_430"	459	386	314	117	468	415	366	272
"ARID5B_433"	69	34	29	16	46	63	55	63
"ARL4C_438"	0	0	3	0	4	0	0	8
"ARNT2_448"	5	11	8	0	25	10	20	6
"ARPC3_455"	5202	4506	4549	3346	6453	5458	6481	5461
"ARPP19_466"	231	178	206	211	265	131	600	318
"ARSE_468"	12	12	3	2	38	14	22	4
"ASAH1_474"	207	161	171	169	257	194	218	144
"ASCC3_480"	758	815	620	373	1875	1805	922	670
"ASPM_487"	2	0	4	8	3	4	12	11
"ASPN_490"	0	1	0	0	0	2	0	0
"ATF1_497"	48	28	18	34	90	51	63	38
"ATF3_499"	3	0	40	17	10	0	69	21
"ATF4_500"	3477	3235	4103	2552	3717	3351	4207	2376
"ATF5_501"	437	450	296	126	1232	996	602	377
"ATF6_502"	199	171	37	28	155	154	60	37
"ATG3_504"	354	371	353	224	445	304	623	414
"ATIC_507"	522	422	408	276	959	625	1015	602
"ATMIN_513"	543	517	624	488	732	511	798	470
"ATP11B_517"	775	778	295	301	1525	1244	486	351
"ATP1B1_527"	5543	5677	1561	1091	9618	7363	2267	1482
"ATP2C1_533"	1921	1728	1134	601	3500	3016	2300	1658
"ATP5S_554"	18	20	4	10	45	29	33	20
"ATP6V0B_562"	53	38	86	70	187	138	376	274
"ATP6V1D_574"	1350	1329	1957	1230	1850	1232	2780	1876
"AURKA_586"	38	14	22	42	74	74	161	112
"AURKB_587"	44	35	185	110	112	125	512	226
"AXIN1_590"	0	4	0	0	0	10	0	3
"B2M_596"	33796	31247	29463	23576	32174	26219	34114	21463
"B4GAT1_602"	1	4	0	0	4	0	2	2
"B4GALT1_603"	2	6	2	0	2	5	3	5
"B4GALT2_604"	1	1	2	2	1	1	9	6
"B4GALT5_608"	2	10	3	7	8	3	27	14
"BAAT_614"	4570	4927	215	66	7042	4635	313	464
"BACE2_618"	325	302	216	189	772	627	357	269
"BAD_619"	11	6	10	7	22	30	23	16
"BAG3_629"	257	324	265	201	380	261	476	264
"BAMBI_634"	788	764	319	226	854	684	545	377
"BANF1_635"	477	430	626	540	864	759	1262	1036
"BCAS2_650"	521	507	658	462	694	489	669	583
"BCAT2_651"	3	2	3	1	3	13	4	2
"BCL2_658"	20	6	16	16	49	33	21	27
"BCL2L2_665"	28	21	28	17	105	80	87	42
"BCL7B_670"	243	179	128	114	577	599	350	270
"BDH1_674"	3	3	0	0	9	3	2	0
"BDNF_679"	0	3	0	0	0	0	4	0
"BECN1_680"	200	204	256	256	341	307	521	377
"BHLHE40_689"	32	37	103	57	99	89	353	225
"BID_696"	682	571	277	220	1683	1509	1082	655
"BIRC2_703"	148	111	234	126	339	269	400	216
"BIRC5_709"	54	23	66	70	74	92	232	109
"BLCAP_713"	5	0	1	2	16	6	11	13
"BLMH_719"	0	0	0	0	0	0	0	0
"BLVRA_731"	135	96	127	71	181	145	274	146
"BMP4_737"	18	18	17	9	52	63	37	13
"BNIP3_743"	0	0	1	1	10	15	14	6
"BNIP3L_746"	198	179	262	194	325	184	548	401
"BOD1_749"	0	0	0	0	4	3	1	0
"BRCA1_757"	0	0	0	0	5	2	0	2
"BTK_795"	6	5	3	2	11	4	11	6
"BUB1B_800"	17	11	10	26	10	11	74	50
"BZW1_804"	15975	14216	15684	10845	32877	26468	22070	15528
"BZW2_805"	345	254	314	240	636	502	411	294
"TIGAR_823"	223	239	396	298	288	214	723	499
"MCEMP1_855"	2	4	50	45	10	6	274	189
"C1D_859"	73	48	72	84	120	124	241	199
"C1orf131_862"	312	285	164	98	362	283	310	260
"C1QA_867"	0	0	0	0	0	0	0	0
"C1R_871"	2424	2419	930	571	5708	4483	2148	1596
"C2CD2_875"	265	180	100	42	381	320	200	91
"C2CD2L_878"	0	2	0	2	0	0	0	4
"C2CD5_880"	73	96	67	24	268	135	78	62
"C3_886"	7323	6718	1993	953	12306	9051	4790	2810
"C5_890"	1145	1223	250	86	2094	1453	310	251
"C6orf62_903"	4216	3762	3302	2574	5896	4185	6876	4377
"CA2_908"	18	19	47	34	43	17	91	27
"CAB39_918"	791	590	489	334	954	765	1096	735
"CALM1_934"	163	138	197	108	307	231	272	234
"CALM3_940"	3	3	3	6	16	12	16	16
"CALR_943"	4644	4578	4710	3203	8665	6994	6825	3393
"CALU_944"	61	64	47	44	233	205	91	64
"CAMSAP2_955"	193	191	260	126	233	207	383	188
"CANT1_956"	98	93	84	53	158	133	218	134
"CAPN1_957"	33	30	14	12	132	102	118	55
"CASC3_973"	7	15	32	20	32	9	59	46
"CASK_976"	44	31	31	25	58	34	69	36
"CASP10_978"	1	3	10	10	8	12	21	9
"CASP10_979"	11	0	11	5	4	1	46	19
"CASP2_982"	122	129	167	108	290	255	640	304
"CASP3_983"	93	103	226	173	95	121	440	211
"CASP7_985"	200	173	173	104	141	182	245	107
"CASP8_989"	80	66	61	46	148	90	249	167
"CASP9_992"	83	60	32	15	93	62	87	55
"CASR_993"	1	0	1	0	1	0	0	1
"CAT_999"	7088	6756	1738	1227	5352	3439	2184	1231
"CBLB_1005"	3	0	0	6	5	0	5	11
"CBR1_1006"	2449	2429	1017	624	3703	3222	1836	1014
"CBR3_1007"	43	25	48	47	39	34	82	38
"CBWD1_1009"	2208	1977	2694	2264	2708	2258	2517	1484
"CCDC85B_1030"	0	4	7	13	20	21	17	4
"CCDC86_1031"	11	12	7	10	41	25	57	26
"CCDC92_1033"	32	41	115	74	126	56	240	153
"CCL2_1039"	108	101	200	188	280	281	685	473
"CCL3_1043"	0	0	0	0	10	0	2	4
"CCNA1_1047"	0	0	0	0	4	0	1	3
"CCNA2_1050"	39	29	115	84	42	71	277	229
"CCNB1_1053"	97	59	96	99	232	215	638	444
"CCNB2_1057"	2	1	1	8	20	5	0	0
"CCND1_1062"	22	18	25	27	59	26	29	21
"CCND3_1066"	17	23	28	15	59	47	50	67
"CCNE2_1073"	41	40	511	353	197	132	704	502
"CCNF_1076"	15	3	54	24	35	47	151	66
"CCNG1_1079"	2219	1930	3130	2173	3115	2768	5568	3030
"CCNH_1083"	1089	1109	778	585	1909	1547	1402	1043
"CCR5_1093"	0	0	0	0	0	0	0	2
"CCT7_1100"	2100	1824	2587	1742	2929	2272	3564	2102
"CD320_1116"	845	687	1160	864	2187	1855	1982	1330
"CD3D_1127"	19	30	29	12	129	157	380	206
"CD4_1128"	0	0	0	1	4	11	4	5
"CD40_1129"	15	6	11	5	16	25	39	30
"CD44_1134"	1206	1082	2540	1737	1560	1456	4823	2587
"CD55_1141"	504	447	1086	757	568	406	1408	943
"CD58_1144"	1447	1269	824	716	1865	1680	2046	1514
"CD8A_1152"	0	0	2	0	5	0	1	4
"ADGRE5_1154"	730	636	509	389	1823	1572	1717	888
"CDC20_1157"	129	97	106	141	695	763	947	548
"CDC25A_1158"	4	2	22	16	34	28	62	45
"CDC25B_1161"	9	9	42	26	40	25	103	44
"CDC26_1162"	543	482	391	285	512	487	422	242
"CDC42_1168"	5205	4629	5673	4132	5749	4546	9812	6899
"CDC6_1177"	29	48	435	291	145	111	572	387
"CDCA4_1183"	1	6	16	25	28	15	48	24
"CDCA5_1184"	20	23	175	167	87	73	324	180
"CDCA8_1185"	12	6	27	26	39	34	221	110
"CDH1_1186"	108	77	0	2	257	193	26	15
"CDH3_1191"	3	0	0	2	3	1	1	0
"CDK1_1196"	392	336	2087	1505	887	852	5635	3497
"CDK19_1201"	298	240	54	38	534	417	231	167
"CDK2_1202"	61	57	274	160	79	127	285	187
"CDK4_1203"	2836	2524	2993	1974	10408	8213	5100	4115
"CDK5_1206"	487	371	300	190	834	693	660	431
"CDK5R1_1209"	211	194	194	106	842	630	359	242
"CDK6_1213"	456	460	394	203	782	548	509	359
"CDK7_1216"	1233	1118	1060	579	1769	1418	1437	1039
"CDKN1A_1219"	16	5	23	7	45	34	43	25
"CDKN1B_1222"	240	254	162	110	318	240	354	204
"CEBPA_1240"	91	91	37	23	172	96	103	85
"CEBPD_1242"	71	57	53	17	170	163	139	95
"CEBPZ_1245"	2035	1712	1713	956	1745	1389	1908	1285
"CENPA_1247"	5	4	12	6	6	7	49	23
"CENPE_1249"	3	4	14	9	15	7	17	10
"CENPF_1252"	29	7	38	38	29	36	113	93
"CENPW_1256"	522	402	2171	1704	1413	1549	6339	4701
"CEP57_1257"	258	232	183	120	819	621	362	256
"CERK_1258"	2	0	1	0	0	0	3	0
"CES1_1259"	39604	37743	11854	6396	84181	56261	20630	12740
"CETN3_1262"	3	8	5	3	0	1	1	2
"CFLAR_1269"	388	320	310	160	500	320	464	272
"CFLAR_1270"	24	25	15	12	43	22	54	27
"CGA_1272"	0	2	0	1	6	0	0	10
"CGRRF1_1278"	12	11	11	12	7	10	36	30
"CHAC1_1279"	8	6	32	22	4	18	33	4
"CHEK1_1288"	339	325	793	569	677	678	904	545
"CHEK2_1289"	3	10	13	8	21	10	55	43
"CHERP_1290"	330	264	342	235	355	278	436	207
"CHIC2_1295"	196	139	236	188	319	270	450	213
"CHMP2B_1301"	62	67	96	48	57	23	156	96
"CHMP4A_1304"	1365	1329	869	565	3762	2623	938	808
"CHMP6_1311"	158	174	118	67	637	509	162	137
"CHN1_1312"	37	31	16	12	79	74	16	23
"CHP1_1319"	218	163	131	102	312	229	316	205
"CHRNA2_1325"	0	0	0	0	1	0	1	1
"CHRNA4_1328"	0	0	0	0	3	6	0	0
"CHUK_1342"	77	81	85	74	105	76	180	134
"CIAPIN1_1343"	41	30	18	32	84	55	34	29
"CIRBP_1351"	8	7	14	5	11	18	19	26
"CISD1_1354"	131	113	72	79	231	135	183	112
"CKS1B_1362"	162	158	369	241	316	313	1203	815
"CLIC4_1388"	4075	3780	2726	2003	8555	7116	3654	2696
"CLPX_1399"	37	41	39	29	72	36	104	66
"CLSTN1_1400"	676	706	548	332	1189	809	896	604
"CLTB_1402"	1859	1909	2034	1143	4475	3149	3047	1959
"CLTC_1405"	1081	979	913	608	1224	878	2061	1036
"CNDP2_1408"	2	0	1	0	1	0	5	3
"CNOT4_1427"	555	544	476	277	727	523	637	336
"CNPY2_1432"	0	0	2	2	9	9	1	7
"CNPY3_1433"	171	154	148	149	398	235	434	319
"COA6_1437"	519	393	299	237	605	436	656	439
"COASY_1438"	143	97	68	31	195	102	140	63
"COG2_1441"	538	438	296	224	777	627	395	302
"COG7_1450"	3	0	0	0	3	0	0	2
"COL10A1_1457"	0	0	0	3	2	0	2	3
"COL12A1_1461"	284	238	134	101	609	399	183	99
"COL1A1_1466"	55	23	160	72	115	56	231	118
"COL4A1_1472"	654	501	276	186	996	1041	376	213
"COL4A2_1473"	128	134	88	66	296	301	82	18
"COL4A3BP_1476"	384	335	108	79	428	304	285	143
"COL5A1_1480"	489	424	199	150	1742	1403	71	50
"COL5A2_1483"	5	7	0	0	10	1	1	0
"COPB2_1491"	126	101	185	148	167	113	339	235
"COPS5_1497"	1389	1153	909	536	2741	1991	870	680
"COPS7A_1498"	16	14	8	7	23	35	46	14
"COPZ1_1499"	676	558	402	243	1236	1096	755	366
"COQ5_1506"	54	75	33	26	111	79	52	44
"CORO1A_1507"	0	0	0	1	10	9	20	7
"COX6B1_1519"	234	241	107	79	392	339	242	113
"COX6C_1522"	0	0	0	0	3	4	1	0
"CPNE3_1532"	1427	1322	1102	714	1699	1292	1220	786
"CPSF4_1539"	315	268	462	246	628	531	984	664
"CREBBP_1553"	23	13	26	15	63	33	62	25
"CREG1_1558"	1507	1350	1104	803	1779	1418	1238	943
"CRELD2_1561"	705	595	743	579	1125	880	924	592
"CRK_1571"	129	156	68	33	224	168	150	119
"CRKL_1574"	201	215	182	108	237	184	323	205
"CRTAP_1578"	1	1	0	0	9	2	3	0
"CRYZ_1586"	81	68	43	13	156	171	122	74
"CSNK1E_1602"	8	4	8	5	8	10	11	12
"CSNK2A2_1609"	165	144	129	68	169	142	149	90
"CSRP1_1611"	223	241	637	464	536	443	1198	757
"CT45A6_1618"	31	33	30	24	60	37	46	32
"CTNNAL1_1630"	501	394	485	373	544	469	705	465
"CTNNB1_1633"	4628	3891	3391	2495	4327	3348	4792	2609
"CTSD_1642"	485	397	451	362	1640	980	937	583
"CTSG_1643"	0	1	0	0	0	5	0	3
"CTSL_1647"	84	71	161	166	315	248	329	214
"CTTN_1650"	192	188	139	77	414	317	374	270
"CXCL2_1672"	19	23	20	5	70	33	31	21
"CYB561_1683"	12	24	12	16	54	37	29	33
"CYCS_1692"	597	508	591	383	1130	893	399	217
"CYP1A2_1699"	2	0	1	2	6	3	1	2
"CYP2A6_1709"	18	31	0	0	9	5	0	1
"CYP2C9_1720"	4984	5138	162	97	4219	3162	69	109
"CYP2E1_1722"	915	914	0	6	399	330	2	2
"CYP4F3_1739"	8	20	8	3	14	17	6	7
"CYP51A1_1742"	2294	2175	1205	734	3586	2429	1774	1262
"CYP7A1_1745"	10	21	0	0	19	10	0	0
"CYTH1_1748"	5	6	8	4	3	7	5	1
"DAD1_1749"	1003	857	783	576	1093	897	1551	915
"DAG1_1750"	290	274	104	111	567	320	267	166
"DAPK1_1752"	17	11	13	13	17	40	8	13
"DAXX_1756"	2274	2133	1914	1287	3914	2969	3012	1899
"DBH_1758"	0	0	0	0	0	0	0	0
"DCK_1776"	114	95	272	176	403	325	481	307
"DCN_1779"	19	21	50	33	143	66	81	99
"DCTD_1785"	1980	1770	2198	1504	3403	2642	3158	2204
"DCTN6_1789"	1995	1934	1463	1053	2351	1965	2514	1528
"DCUN1D4_1795"	127	166	164	100	153	138	305	253
"DDB2_1798"	29	28	196	78	192	138	627	350
"DDIT4_1803"	3	0	2	2	29	19	7	12
"DDR1_1804"	74	59	60	61	216	174	299	176
"DDX10_1808"	187	174	82	37	221	148	102	77
"DDX42_1819"	6	2	7	1	10	6	19	11
"DECR1_1831"	127	138	63	71	242	150	125	126
"DEFB118_1835"	0	0	0	0	5	0	1	0
"DEK_1841"	1275	1133	2107	1324	1849	1778	3196	2393
"DENND2D_1844"	16	4	5	9	45	30	66	35
"DEPDC1B_1847"	142	100	285	213	373	360	340	303
"DERA_1848"	2	2	3	0	0	11	20	17
"DES_1849"	0	0	0	0	4	0	0	0
"DFFA_1850"	39	15	42	8	50	24	75	27
"DFFB_1853"	346	363	88	50	832	512	112	89
"DHDDS_1856"	249	195	215	93	425	405	256	178
"DHRS7_1861"	543	456	792	546	683	564	1831	1064
"DHX29_1863"	38	40	39	23	70	41	37	31
"DLAT_1875"	1995	1889	1014	682	2736	1970	1413	892
"DLD_1877"	1	7	0	0	6	0	8	0
"DLGAP5_1882"	19	4	41	29	43	32	251	169
"DMTF1_1887"	18	2	12	17	43	11	11	14
"DNAJA3_1895"	34	22	19	4	62	75	84	57
"DNAJB1_1898"	4	5	6	0	10	8	15	13
"DNAJB14_1905"	257	257	306	217	288	203	527	286
"DNAJB2_1906"	0	0	0	0	10	0	0	3
"DNAJB6_1912"	606	505	428	227	902	976	831	494
"DNM1_1924"	9	4	0	0	7	9	0	0
"DNM1L_1927"	127	131	92	104	160	102	205	126
"DNMT1_1928"	1	1	5	10	20	6	21	15
"DNMT3A_1932"	2	1	0	0	14	4	2	4
"DNTTIP2_1936"	1025	986	1089	723	1593	1345	1366	966
"DPH2_1940"	1	2	0	4	16	5	7	3
"DPM2_1947"	287	248	292	177	696	588	678	411
"DRAP1_1957"	116	96	81	72	134	111	293	103
"DSG2_1967"	121	95	233	144	157	129	515	215
"DSG3_1968"	0	3	7	5	6	9	3	4
"DUSP11_1981"	144	117	343	241	117	91	912	584
"DUSP22_1986"	929	898	544	384	1193	823	872	457
"DUSP3_1987"	2204	2148	1157	745	2766	2301	1723	874
"DUSP4_1990"	0	1	4	2	7	1	2	2
"DUSP6_1993"	4	0	50	27	8	2	105	48
"DYNLL1_1997"	3457	2715	4173	3738	4637	3470	8219	5893
"DYNLT3_2000"	2352	2194	2461	1877	3329	2882	2143	1409
"DYRK3_2006"	489	515	1815	1196	611	435	2984	1548
"E2F1_2008"	4	0	0	9	3	3	3	3
"E2F2_2009"	0	0	0	0	0	5	1	0
"EAPP_2012"	49	33	48	41	83	41	102	59
"EBNA1BP2_2014"	5447	4962	5831	3731	10341	7644	5798	4143
"EBP_2015"	1356	1289	457	332	2079	1558	1277	1204
"ECD_2021"	800	712	893	485	1456	1142	1445	1000
"ECH1_2022"	297	303	96	48	643	510	298	112
"EDEM1_2027"	32	31	39	37	82	36	195	129
"EDN1_2029"	53	45	109	103	82	118	461	262
"EED_2035"	19	12	40	15	37	40	59	24
"EEF2_2042"	11072	9784	8999	6494	25537	16713	20574	13828
"EGF_2055"	74	61	47	16	117	102	74	38
"EGFR_2063"	217	190	226	130	468	418	256	149
"EGR1_2068"	169	169	1030	585	364	249	1317	588
"EIF1AX_2077"	858	855	828	582	1132	873	1058	751
"EIF1AY_2080"	0	0	0	0	0	0	0	0
"EIF2S1_2085"	3446	3323	3869	2476	5980	4490	4570	3395
"EIF2S2_2088"	86	58	115	102	108	46	306	200
"EIF3C_2092"	7	0	2	1	20	7	6	8
"EIF3E_2094"	13393	11874	6607	4412	32649	26577	9045	7525
"EIF4B_2106"	421	417	220	136	578	432	557	282
"EIF4EBP1_2107"	2508	2450	2270	1530	6744	6819	2912	2336
"EIF5_2112"	0	0	1	0	6	2	0	0
"ELAC2_2114"	29	11	18	5	13	7	14	8
"ELAVL1_2115"	33	12	21	12	74	14	10	4
"ELOVL6_2134"	14	24	5	0	52	12	7	8
"EML3_2142"	0	0	0	0	8	0	1	2
"ENOPH1_2156"	418	488	451	316	869	707	1058	783
"ENOSF1_2157"	4	7	0	0	12	4	2	7
"EP300_2167"	774	781	413	224	1759	1547	891	529
"EPB41L2_2175"	60	44	64	39	140	105	198	113
"EPHA3_2188"	3	8	1	0	28	9	0	7
"EPHB2_2194"	124	85	41	45	182	165	21	19
"EPN2_2197"	3	1	0	0	2	9	3	1
"EPRS_2200"	4	2	0	5	11	2	2	2
"ERBB2_2205"	83	68	150	78	217	119	262	112
"ERBB3_2206"	82	85	39	36	191	117	57	17
"ERO1A_2227"	635	586	623	497	1670	1359	1726	959
"ETFA_2244"	2677	2650	1588	1147	4473	3376	2748	1765
"ETFB_2245"	433	472	212	167	730	529	352	197
"ETS1_2248"	1010	906	972	505	1223	1367	1248	589
"ETV1_2251"	0	0	2	0	6	7	0	0
"EVL_2255"	343	353	82	51	633	493	134	80
"EXOSC4_2269"	91	91	64	39	200	152	153	93
"EXT1_2278"	1396	1196	392	304	1921	1716	380	215
"EZH2_2282"	66	67	199	111	177	161	342	266
"F2_2286"	1559	1482	354	128	3050	2405	1155	735
"FAH_2303"	312	291	218	149	975	770	763	435
"FAIM_2304"	184	166	88	64	245	156	199	112
"FAM174A_2316"	1893	1892	1100	675	3385	2420	1215	974
"FAM20B_2318"	26	26	16	11	62	22	56	30
"FAM57A_2328"	152	156	162	106	789	615	187	210
"FAM63A_2329"	5	4	1	3	9	12	15	5
"FAM69A_2333"	495	463	248	161	863	670	339	221
"FANCI_2338"	36	11	205	120	88	83	584	299
"FAS_2345"	287	263	1148	780	531	421	2571	1628
"FASTKD5_2353"	135	149	82	77	184	158	120	86
"FAT1_2356"	165	116	173	117	243	161	375	205
"FBL_2360"	198	169	198	121	486	470	336	212
"FBN1_2363"	10	10	2	1	2	0	1	2
"FBXL12_2366"	325	269	221	125	516	419	248	161
"FBXO11_2372"	128	133	85	98	95	121	188	76
"FBXO21_2375"	1	7	7	10	10	4	20	7
"FBXO7_2377"	2247	2194	1537	875	4288	3680	2510	1399
"FDFT1_2382"	316	263	125	57	407	398	195	169
"FEN1_2387"	29	15	152	73	54	55	207	145
"FEZ2_2394"	1202	1184	1038	599	1610	1175	1708	972
"FGB_2397"	3126	3383	668	270	3879	2676	1394	1042
"FGF17_2402"	0	0	0	0	0	0	1	0
"FGF2_2405"	0	0	0	3	5	2	3	1
"FGF7_2409"	83	89	38	28	87	74	23	7
"FGFR2_2417"	132	181	97	30	230	164	60	58
"FGFR4_2419"	0	2	0	0	0	2	0	1
"FHL2_2423"	62	46	94	83	358	307	339	226
"FIS1_2429"	5	1	2	1	13	8	11	16
"FKBP14_2430"	328	252	338	176	767	741	278	169
"FKBP4_2433"	25	34	49	26	53	13	154	79
"FN1_2459"	7896	7231	7101	4079	14734	11703	10535	5418
"FOS_2461"	1	4	25	20	7	29	71	10
"FOSL1_2463"	162	139	725	525	283	250	1132	483
"FOXJ3_2478"	26	22	33	17	24	9	18	33
"FOXM1_2479"	0	0	0	0	0	0	1	1
"FOXO3_2481"	871	816	434	252	1472	1195	443	344
"FOXO4_2484"	16	18	64	36	66	44	132	45
"FRS2_2492"	1041	1004	700	320	2004	1335	832	688
"FSD1_2495"	0	0	0	0	0	0	0	0
"FUT1_2519"	0	0	0	0	7	0	0	0
"FYN_2527"	2	2	0	0	2	3	0	2
"FZD1_2533"	6	3	8	11	40	11	40	37
"FZD7_2537"	0	0	0	0	0	0	0	0
"G3BP1_2542"	4334	4151	2813	1978	5191	3920	3498	2212
"G3BP2_2545"	159	197	206	110	228	165	239	149
"GAA_2549"	91	94	81	95	339	257	266	139
"GABARAPL1_2552"	9	9	7	2	11	19	34	15
"GABBR1_2553"	61	58	117	67	184	173	81	30
"GABPB1_2555"	869	725	643	554	1092	984	559	422
"GABRB3_2561"	0	0	0	0	6	0	2	3
"GAD1_2566"	5	7	25	11	13	0	34	33
"GADD45A_2569"	574	432	2152	1315	737	567	2675	1415
"GADD45B_2570"	845	727	849	591	1619	1715	1223	597
"GAGE1_2574"	3452	3092	3012	2657	9751	7159	8346	6662
"GAGE12F_2576"	6222	5520	5783	4598	12833	11178	10405	6631
"GAGE12J_2577"	25	6	7	4	33	27	24	16
"GAGE4_2578"	682	603	600	499	1546	1219	1942	1293
"GAPDH_2587"	7698	7175	5582	4571	19334	15718	12099	10110
"GATA2_2599"	0	0	2	9	12	6	15	13
"GATA3_2600"	1	0	0	0	6	3	1	4
"GCLM_2615"	6145	6255	2799	1967	6565	4935	3413	2008
"GDPD5_2628"	10	5	6	0	19	10	11	15
"GFOD1_2633"	16	31	24	27	101	56	65	32
"GFOD1_2634"	62	87	32	30	95	83	54	32
