GeneSymbol	log2FC	ENTREZID	SYMBOL	EnsemblID
ABHD2	0.775	11057	ABHD2	ENSG00000140526
ACAD8	0.803	27034	ACAD8	ENSG00000151498
BAMBI	-1.108	25805	BAMBI	ENSG00000095739
C1orf116	1.879	79098	C1orf116	ENSG00000182795
CAMK2N1	-0.861	55450	CAMK2N1	ENSG00000162545
CBLN2	-1.088	147381	CBLN2	ENSG00000141668
CHKA	0.612	1119	CHKA	ENSG00000110721
CRISPLD2	0.752	83716	CRISPLD2	ENSG00000103196
DAPK1	-1.618	1612	DAPK1	ENSG00000196730
DEPTOR	-0.637	64798	DEPTOR	ENSG00000155792
EAF2	1.823	55929	DMAP1	ENSG00000145088
EAF2	1.823	55840	EAF2	ENSG00000145088
ENC1	-0.65	8507	ENC1	ENSG00000171617
ERN1	0.846	2081	ERN1	ENSG00000178607
EXPH5	-0.933	23086	EXPH5	ENSG00000110723
FERMT2	0.604	10979	FERMT2	ENSG00000073712
FGD4	0.841	121512	FGD4	ENSG00000139132
FKBP5	2.833	2289	FKBP5	ENSG00000096060
FLJ20021	1.273	90024	FLJ20021	ENSG00000254531
HES6	0.628	55502	HES6	ENSG00000144485
HMGCR	0.728	3156	HMGCR	ENSG00000113161
HOMER2	0.903	9455	HOMER2	ENSG00000103942
KLK2	2.581	3817	KLK2	ENSG00000167751
KLK4	1.167	9622	KLK4	ENSG00000167749
LRIG1	1.325	26018	LRIG1	ENSG00000144749
MICAL2	0.974	9645	MICAL2	ENSG00000133816
NBL1	0.68	4681	NBL1	ENSG00000158747
NDFIP2	0.937	54602	NDFIP2	ENSG00000102471
NDRG1	2.301	10397	NDRG1	ENSG00000104419
NEDD4L	0.881	23327	NEDD4L	ENSG00000049759
NFKBIZ	-0.937	64332	NFKBIZ	ENSG00000144802
ORM1	1.483	5004	ORM1	ENSG00000229314
PGC	1.575	5225	PGC	ENSG00000096088
PKP4	-0.688	8502	PKP4	ENSG00000144283
PMEPA1	1.921	56937	PMEPA1	ENSG00000124225
RASD1	1.143	51655	RASD1	ENSG00000108551
SLC15A2	1.613	6565	SLC15A2	ENSG00000163406
SLC26A3	0.936	1811	SLC26A3	ENSG00000091138
SLC45A3	2.031	85414	SLC45A3	ENSG00000158715
SNAPC1	0.761	6617	SNAPC1	ENSG00000023608
SPSB1	0.606	80176	SPSB1	ENSG00000171621
STAC	-1.024	6769	STAC	ENSG00000144681
STEAP1	1.159	26872	STEAP1	ENSG00000164647
STK39	0.887	27347	STK39	ENSG00000198648
SYTL2	-0.714	54843	SYTL2	ENSG00000137501
TIPARP	1.886	25976	TIPARP	ENSG00000163659
TMCC3	1.457	57458	TMCC3	ENSG00000057704
TMPRSS2	2.106	7113	TMPRSS2	ENSG00000184012
UGT2B28	0.681	54490	UGT2B28	ENSG00000135226
ZBTB16	1.806	7704	ZBTB16	ENSG00000109906
CXCR7	-0.967	57007	ACKR3	ENSG00000144476
C19orf48	1.455	84798	C19orf48P	ENSG00000167747
