GeneSymbol	log2FC	ENTREZID	SYMBOL	EnsemblID
ADCY1	0.367	107	ADCY1	ENSG00000164742
ADCY9	0.81	115	ADCY9	ENSG00000162104
AREG	0.722	374	AREG	ENSG00000109321
ATP2B1	-0.311	490	ATP2B1	ENSG00000070961
BAMBI	-0.281	25805	BAMBI	ENSG00000095739
CA12	0.869	771	CA12	ENSG00000074410
CD44	0.51	960	CD44	ENSG00000026508
CXCL12	1.279	6387	CXCL12	ENSG00000107562
DEPTOR	0.707	64798	DEPTOR	ENSG00000155792
EFNA1	-0.645	1942	EFNA1	ENSG00000169242
EGR3	2.032	1960	EGR3	ENSG00000179388
FKBP5	0.883	2289	FKBP5	ENSG00000096060
FOS	0.918	2353	FOS	ENSG00000170345
GAB2	0.839	9846	GAB2	ENSG00000033327
GREB1	1.419	9687	GREB1	ENSG00000196208
IER3	0.443	8870	IER3	ENSG00000137331
IGFBP4	1.524	3487	IGFBP4	ENSG00000141753
IL1R1	-0.556	3554	IL1R1	ENSG00000115594
KLF10	0.526	7071	KLF10	ENSG00000155090
LIMA1	-0.705	51474	LIMA1	ENSG00000050405
MAPT	0.475	4137	MAPT	ENSG00000186868
MPPED2	0.97	744	MPPED2	ENSG00000066382
MYB	0.866	4602	MYB	ENSG00000118513
MYC	0.672	4609	MYC	ENSG00000136997
MYOF	0.382	26509	MYOF	ENSG00000138119
NKAIN1	0.704	79570	NKAIN1	ENSG00000084628
NPY1R	1.042	4886	NPY1R	ENSG00000164128
NRIP1	1.084	8204	NRIP1	ENSG00000180530
PDZK1	1.83	5174	PDZK1	ENSG00000174827
PGR	1.302	5241	PGR	ENSG00000082175
PIK3R1	0.395	5295	PIK3R1	ENSG00000145675
PKP2	-0.688	5318	PKP2	ENSG00000057294
PRSS23	2.135	11098	PRSS23	ENSG00000150687
RAB26	-0.334	25837	RAB26	ENSG00000167964
RAB27B	-0.798	5874	RAB27B	ENSG00000041353
RAB31	1.466	11031	RAB31	ENSG00000168461
RAPGEFL1	1.198	51195	RAPGEFL1	ENSG00000108352
RARA	0.695	5914	RARA	ENSG00000131759
RASGRP1	0.843	10125	RASGRP1	ENSG00000172575
RCL1	0.641	10171	RCL1	ENSG00000120158
RET	1.578	5979	RET	ENSG00000165731
RHOBTB1	1.141	9886	RHOBTB1	ENSG00000072422
SNX24	1.384	28966	SNX24	ENSG00000064652
ST8SIA4	-1.383	7903	ST8SIA4	ENSG00000113532
TCF7L2	-0.533	6934	TCF7L2	ENSG00000148737
TPBG	0.499	7162	TPBG	ENSG00000146242
TPD52L1	1.201	7164	TPD52L1	ENSG00000111907
TSC22D3	-0.486	1831	TSC22D3	ENSG00000157514
XBP1	0.913	7494	XBP1	ENSG00000100219
ZNF703	0.765	80139	ZNF703	ENSG00000183779
