GeneSymbol	log2FC	ENTREZID	SYMBOL	EnsemblID
ACOX2	-2.13	8309	ACOX2	ENSG00000168306
ADH1B	-3.47	125	ADH1B	ENSG00000196616
ALDH3A1	-0.56	218	ALDH3A1	ENSG00000108602
ANXA10	3.55	11199	ANXA10	ENSG00000109511
ARG1	-4.2	64129	TINAGL1	ENSG00000118520
ARG1	-4.2	383	ARG1	ENSG00000118520
CCL20	0.65	6364	CCL20	ENSG00000115009
CES2	-0.99	8824	CES2	ENSG00000172831
CGA	-0.68	1113	CHGA	ENSG00000135346
CGA	-0.68	1081	CGA	ENSG00000135346
COX1	-0.45	4512	COX1	ENSG00000198804
CYP1A1	2.66	1543	CYP1A1	ENSG00000140465
CYP2A13	-1.39	1553	CYP2A13	ENSG00000197838
CYP2C9	-2.37	1559	CYP2C9	ENSG00000138109
CYP2E1	-2.83	1571	CYP2E1	ENSG00000130649
CYP3A5	-0.94	1577	CYP3A5	ENSG00000106258
CYP7A1	-4.63	1581	CYP7A1	ENSG00000167910
FASN	-0.64	2194	FASN	ENSG00000169710
GZMB	0.52	3002	GZMB	ENSG00000100453
HRG	-1.96	3273	HRG	ENSG00000113905
HSD11B2	-1.69	3291	HSD11B2	ENSG00000176387
IL6	0.94	3569	IL6	ENSG00000136244
INSIG1	-0.56	3638	INSIG1	ENSG00000186480
MLXIPL	-0.86	51085	MLXIPL	ENSG00000009950
NR1I3	-2.76	9970	NR1I3	ENSG00000143257
PRKDC	-0.36	5591	PRKDC	ENSG00000253729
S100P	2.92	6286	S100P	ENSG00000163993
SCD	-0.46	6319	SCD	ENSG00000099194
SLCO1B1	-1.04	10599	SLCO1B1	ENSG00000134538
SULT1B1	-2.91	27284	SULT1B1	ENSG00000173597
SYT1	-0.5	6857	SYT1	ENSG00000067715
TNFRSF12A	1.17	51330	TNFRSF12A	ENSG00000006327
UGT2B7	-2.44	7364	UGT2B7	ENSG00000171234
G6PC	-3.99	2538	G6PC1	ENSG00000131482
HULC	-1.81	728655	HULC	ENSG00000285219
