GeneSymbol	log2FC	ENTREZID	SYMBOL	EnsemblID
ABCA12	1.416	26154	ABCA12	ENSG00000144452
ADH1C	-0.843	126	ADH1C	ENSG00000248144
ADH4	-3.593	127	ADH4	ENSG00000198099
ADORA2B	0.702	136	ADORA2B	ENSG00000170425
AKR1B1	0.38	231	AKR1B1	ENSG00000085662
AQP9	-2.43	366	AQP9	ENSG00000103569
AREG	0.966	374	AREG	ENSG00000109321
ARL14	0.251	80117	ARL14	ENSG00000179674
C8B	-3.219	732	C8B	ENSG00000021852
CCDC178	0.852	374864	CCDC178	ENSG00000166960
CDIP1	0.738	29965	CDIP1	ENSG00000089486
CEL	2.189	1056	CEL	ENSG00000170835
CFHR3	-3.61	10878	CFHR3	ENSG00000116785
CLCA2	1.393	9635	CLCA2	ENSG00000137975
CYP2A6	0.037	1548	CYP2A6	ENSG00000255974
CYP39A1	-0.717	51302	CYP39A1	ENSG00000146233
CYP8B1	-2.883	1582	CYP8B1	ENSG00000180432
DGKA	1.185	1606	DGKA	ENSG00000065357
DRAXIN	3.687	374946	DRAXIN	ENSG00000162490
DSE	1.641	29940	DSE	ENSG00000111817
DUSP14	1.633	11072	DUSP14	ENSG00000276023
E2F7	1.246	144455	E2F7	ENSG00000165891
EXT1	-0.488	2131	EXT1	ENSG00000182197
FDXR	1.541	2232	FDXR	ENSG00000161513
FOLH1	-0.07	2346	FOLH1	ENSG00000086205
FOSL1	0.671	8061	FOSL1	ENSG00000175592
FREM2	-1.276	341640	FREM2	ENSG00000150893
G0S2	-2.569	50486	G0S2	ENSG00000123689
GDF15	2.146	9518	GDF15	ENSG00000130513
GLIPR2	0.999	152007	GLIPR2	ENSG00000122694
GPAM	-1.186	57678	GPAM	ENSG00000119927
GPD1	-2.782	2819	GPD1	ENSG00000167588
GPR87	1.194	53836	GPR87	ENSG00000138271
HERC5	1.3	51191	HERC5	ENSG00000138646
HLF	-0.738	3131	HLF	ENSG00000108924
HSD11B1	-2.08	3290	HSD11B1	ENSG00000117594
IL12A	1.077	3592	IL12A	ENSG00000168811
INHBE	-1.971	83729	INHBE	ENSG00000139269
KRT17	1.093	3872	KRT17	ENSG00000128422
LAMP3	0.584	27074	LAMP3	ENSG00000078081
LIPC	0.18	3990	LIPC	ENSG00000166035
MFSD2A	-0.035	84879	MFSD2A	ENSG00000168389
MICALL1	0.875	85377	MICALL1	ENSG00000100139
MRC1	0.755	4360	MRC1	ENSG00000260314
MUC15	-1.096	143662	MUC15	ENSG00000169550
NCKAP5	-0.619	344148	NCKAP5	ENSG00000176771
ONECUT1	-0.715	3175	ONECUT1	ENSG00000169856
PAGE4	0.354	9506	PAGE4	ENSG00000101951
PALMD	-1.572	54873	PALMD	ENSG00000099260
PIK3C2G	-2.731	5288	PIK3C2G	ENSG00000139144
PMAIP1	-0.193	5366	PMAIP1	ENSG00000141682
PPP1R14C	-0.715	81706	PPP1R14C	ENSG00000198729
PPP1R1A	-0.175	5502	PPP1R1A	ENSG00000135447
PPP1R3B	0.197	79660	PPP1R3B	ENSG00000173281
PROX1	-2.161	5629	PROX1	ENSG00000117707
RARRES1	-1.159	5918	RARRES1	ENSG00000118849
RRAD	-0.021	6236	RRAD	ENSG00000166592
S100A2	0.641	6273	S100A2	ENSG00000196754
SFN	1.349	2810	SFN	ENSG00000175793
SLC22A1	-0.476	6580	SLC22A1	ENSG00000175003
SLC22A7	-0.963	10864	SLC22A7	ENSG00000137204
SLC25A33	-2.047	84275	SLC25A33	ENSG00000171612
SLC39A11	-2.466	201266	SLC39A11	ENSG00000133195
SPAG1	0.349	6674	SPAG1	ENSG00000104450
SPP2	-1.566	6694	SPP2	ENSG00000072080
SYNC	0.919	81493	SYNC	ENSG00000162520
SYTL1	-1.398	84958	SYTL1	ENSG00000142765
THRSP	-0.441	7069	THRSP	ENSG00000151365
TMEM185B	0.87	79134	TMEM185B	ENSG00000226479
TNFRSF11B	-2.446	4982	TNFRSF11B	ENSG00000164761
TREM2	1.078	54209	TREM2	ENSG00000095970
TTPA	-1.658	7274	TTPA	ENSG00000137561
VSIG1	1.519	340547	VSIG1	ENSG00000101842
G6PC	-4.113	2538	G6PC1	ENSG00000131482
PVRL4	1.543	81607	NECTIN4	ENSG00000143217
HFE2	-2.939	148738	HJV	ENSG00000168509
