GeneSymbol	log2FC	ENTREZID	SYMBOL	EnsemblID
ABHD4	0.765	63874	ABHD4	ENSG00000100439
AFF4	0.925	27125	AFF4	ENSG00000072364
AKR1C2	2.51	1646	AKR1C2	ENSG00000151632
ARL5A	-0.585	26225	ARL5A	ENSG00000162980
ATF3	2.263	467	ATF3	ENSG00000162772
BACH1	0.925	571	BACH1	ENSG00000156273
CIAO1	-0.679	9391	CIAO1	ENSG00000144021
CLU	2.07	1191	CLU	ENSG00000120885
DDX23	-0.848	9416	DDX23	ENSG00000174243
DLGAP5	-0.679	9787	DLGAP5	ENSG00000126787
DNAJB6	1.07	10049	DNAJB6	ENSG00000105993
EID1	-0.679	23741	EID1	ENSG00000255302
FAM216A	-0.679	29902	FAM216A	ENSG00000204856
FEN1	-0.766	2237	FEN1	ENSG00000168496
FRMD4A	-1.138	55691	FRMD4A	ENSG00000151474
FTH1	1	2495	FTH1	ENSG00000167996
GCLC	0.847	2729	GCLC	ENSG00000001084
GCNT1	-1.633	2650	GCNT1	ENSG00000187210
GDF15	1.201	9518	GDF15	ENSG00000130513
GEMIN6	-0.848	79833	GEMIN6	ENSG00000152147
GINS2	-1.202	51659	GINS2	ENSG00000131153
GLA	0.765	2717	GLA	ENSG00000102393
GNB4	-0.766	59345	GNB4	ENSG00000114450
GTF3C2	-0.585	2976	GTF3C2	ENSG00000115207
HMOX1	3.906	3162	HMOX1	ENSG00000100292
HNRNPR	-0.679	10236	HNRNPR	ENSG00000125944
IFIT3	0.925	3437	IFIT3	ENSG00000119917
IFRD1	1.07	3475	IFRD1	ENSG00000006652
IGF2R	0.584	3482	IGF2R	ENSG00000197081
ITGA4	-0.848	3676	ITGA4	ENSG00000115232
KDM6A	0.678	7403	KDM6A	ENSG00000147050
LGALS8	1.321	3964	LGALS8	ENSG00000116977
MAFG	1.07	4097	MAFG	ENSG00000197063
MAP1A	1.378	4130	MAP1A	ENSG00000166963
MAP1LC3B	0.847	81631	MAP1LC3B	ENSG00000140941
MLEC	-0.679	9761	MLEC	ENSG00000110917
MPHOSPH9	-0.585	10198	MPHOSPH9	ENSG00000051825
MRPS12	-0.848	6183	MRPS12	ENSG00000128626
MT1E	3.632	4493	MT1E	ENSG00000169715
MT1F	4.224	4494	MT1F	ENSG00000198417
MT1G	4.185	4495	MT1G	ENSG00000125144
MT1H	4.711	4496	MT1H	ENSG00000205358
MT1M	6.361	4499	MT1M	ENSG00000205364
MT1X	4.026	4501	MT1X	ENSG00000187193
MT2A	3.754	4502	MT2A	ENSG00000125148
MTHFD2	1.432	10797	MTHFD2	ENSG00000065911
NINJ1	0.678	4814	NINJ1	ENSG00000131669
NOP14	-0.585	8602	NOP14	ENSG00000087269
NUFIP1	-0.926	26747	NUFIP1	ENSG00000083635
PALB2	-0.679	79728	PALB2	ENSG00000083093
PFAS	-1	5198	PFAS	ENSG00000178921
PIM1	1.07	5292	PIM1	ENSG00000137193
PMAIP1	1.722	5366	PMAIP1	ENSG00000141682
PPP1R15A	1.137	23645	PPP1R15A	ENSG00000087074
PTRH2	-0.585	51651	PTRH2	ENSG00000141378
RBM12	-1.585	10137	RBM12	ENSG00000244462
RIT1	0.765	6016	RIT1	ENSG00000143622
RSAD1	-0.848	55316	RSAD1	ENSG00000136444
SEC62	-0.679	7095	SEC62	ENSG00000008952
SEL1L3	1.201	23231	SEL1L3	ENSG00000091490
SESN2	1.925	83667	SESN2	ENSG00000130766
SHQ1	-0.679	55164	SHQ1	ENSG00000144736
SLC30A1	1.925	7779	SLC30A1	ENSG00000170385
SLC38A2	0.765	54407	SLC38A2	ENSG00000134294
SLC7A5	1.536	8140	SLC7A5	ENSG00000103257
SNCA	-0.679	6622	SNCA	ENSG00000145335
SQSTM1	1.632	8878	SQSTM1	ENSG00000161011
TFE3	0.584	7030	TFE3	ENSG00000068323
TMTC4	-0.679	84899	TMTC4	ENSG00000125247
TNFSF9	1	8744	TNFSF9	ENSG00000125657
TOR3A	-0.766	64222	TOR3A	ENSG00000186283
TPP1	0.678	1200	TPP1	ENSG00000166340
TUBGCP4	-0.585	27229	TUBGCP4	ENSG00000137822
UBC	1.137	7316	UBC	ENSG00000150991
UBE2G2	-0.679	7327	UBE2G2	ENSG00000184787
VLDLR	1.807	7436	VLDLR	ENSG00000147852
ZBED5	-0.585	58486	ZBED5	ENSG00000236287
TARS	0.678	6897	TARS1	ENSG00000113407
WARS	0.847	7453	WARS1	ENSG00000140105
AGPAT9	1.432	79888	LPCAT1	ENSG00000153395
AGPAT9	1.432	84803	GPAT3	ENSG00000138678
FAM129A	0.847	116496	NIBAN1	ENSG00000135842
