GeneSymbol	log2FC	EnsemblID
ABCB6	2.144	ENSG00000115657
ABCC2	3.535	ENSG00000023839
ABHD2	2.548	ENSG00000140526
ACSM3	-3.1	ENSG00000005187
ADH5	-1.863333333	ENSG00000197894
ADM	2.288	ENSG00000148926
AIFM2	2.1675	ENSG00000042286
AKR1B10	100.255	ENSG00000198074
AKR1C1	17.11	ENSG00000187134
AKR1C3	11.855	ENSG00000196139
ALAS1	2.093333333	ENSG00000023330
ALCAM	-1.606	ENSG00000170017
ALDH7A1	-1.888	ENSG00000164904
ALPK2	-2.14	ENSG00000198796
ARHGAP18	-1.804	ENSG00000146376
ASF1A	1.908	ENSG00000111875
ATP6V0B	1.7325	ENSG00000117410
B4GALNT1	2.255	ENSG00000135454
BCAN	1.625	ENSG00000132692
BLOC1S4	1.63	ENSG00000186222
C1S	5.01	ENSG00000182326
C2CD2	1.615	ENSG00000157617
CABYR	2.59	ENSG00000154040
CADM1	-2.595	ENSG00000182985
CAPN10	1.5225	ENSG00000142330
CARHSP1	-2.725	ENSG00000153048
CBR1	1.756	ENSG00000159228
CFI	-2.105	ENSG00000205403
CLN3	1.5875	ENSG00000188603
COBLL1	-2.235	ENSG00000082438
CPS1	-1.8725	ENSG00000021826
CTNS	1.59	ENSG00000040531
DFFA	1.6275	ENSG00000160049
DHRS3	-1.506	ENSG00000162496
DHTKD1	-2.1725	ENSG00000181192
DOCK4	-1.54	ENSG00000128512
EDC3	1.85	ENSG00000179151
FADS3	2.528	ENSG00000221968
FAM117B	-1.5275	ENSG00000138439
FAM162A	-1.83	ENSG00000114023
FDXR	2.54	ENSG00000161513
FECH	1.86	ENSG00000066926
FLRT3	-2.42	ENSG00000125848
FRAS1	-1.7675	ENSG00000138759
GCLC	2.852	ENSG00000001084
GCLM	2.712	ENSG00000023909
GLA	3.378	ENSG00000102393
GLUD1	-1.994	ENSG00000148672
GOLT1B	1.5675	ENSG00000111711
GPX8	-2.2725	ENSG00000164294
GSR	1.968333333	ENSG00000104687
HMGA2	-2.0925	ENSG00000149948
HNF4G	-1.695	ENSG00000164749
HNMT	-2.07	ENSG00000150540
HNRNPU	-1.6975	ENSG00000153187
IL17RC	1.66	ENSG00000163702
IVNS1ABP	-1.7925	ENSG00000116679
KLF3	-2.112	ENSG00000109787
LARP6	1.685	ENSG00000166173
LOC389831	-1.8125	ENSG00000276256
LRBA	-1.87	ENSG00000198589
LTBP1	-1.665	ENSG00000049323
LZTFL1	-1.58	ENSG00000163818
MAP2	14.9175	ENSG00000078018
MARCKS	-1.916	ENSG00000277443
MPP3	1.64	ENSG00000161647
MTPAP	-1.8725	ENSG00000107951
MYH10	-1.658	ENSG00000133026
NAV2	-2.4225	ENSG00000166833
NFIA	-1.692	ENSG00000162599
NQO1	3.855	ENSG00000181019
NREP	-3.363333333	ENSG00000134986
OAS1	-1.91	ENSG00000089127
PAQR8	-1.5125	ENSG00000170915
PCM1	-2	ENSG00000078674
PCYOX1	-2.2175	ENSG00000116005
PDCD4	-2.0325	ENSG00000150593
PDPK1	-1.655	ENSG00000140992
PELO	1.6875	ENSG00000152684
PIK3AP1	-2.56	ENSG00000155629
PIK3C3	-1.6025	ENSG00000078142
PNISR	-1.875	ENSG00000132424
PNPLA4	-1.5425	ENSG00000006757
PODXL	-1.8925	ENSG00000128567
POLR3C	1.548	ENSG00000186141
POP4	1.7625	ENSG00000105171
PPFIBP2	-2.436	ENSG00000166387
PPIA	-1.775	ENSG00000196262
PRRC2B	1.5175	ENSG00000288701
PTGR1	4.138333333	ENSG00000106853
PTP4A2	-1.73	ENSG00000184007
PTPRK	-2.47	ENSG00000152894
RPS15A	-2.0725	ENSG00000134419
RPS6KA3	-1.778	ENSG00000177189
RRAGD	2.18	ENSG00000025039
RRBP1	-1.76	ENSG00000125844
SCARB1	-1.8825	ENSG00000073060
SH3BGR	1.715	ENSG00000185437
SH3PXD2A	-1.6325	ENSG00000107957
SLC25A51	1.612	ENSG00000122696
SLC3A2	2.6025	ENSG00000168003
SLC48A1	1.678	ENSG00000211584
SLC6A6	3.024	ENSG00000131389
SLC7A11	5.378	ENSG00000151012
SPANXA1	10.5175	ENSG00000198021
SPSB1	2.86	ENSG00000171621
SRXN1	3.436	ENSG00000271303
SSU72	1.5325	ENSG00000160075
ST3GAL5	-2.2	ENSG00000115525
ST6GAL1	-2.662857143	ENSG00000073849
STAMBP	1.6025	ENSG00000124356
STARD4	-2.495	ENSG00000164211
STK16	1.8375	ENSG00000115661
TACC1	-2.198333333	ENSG00000147526
TALDO1	1.66	ENSG00000177156
TBC1D8B	-1.584	ENSG00000133138
TBL1XR1	-1.594	ENSG00000177565
TFPI	-1.8125	ENSG00000003436
TIA1	-1.79	ENSG00000116001
TMEM70	1.7875	ENSG00000175606
TMTC4	-1.5675	ENSG00000125247
TP63	-1.6575	ENSG00000073282
TRIQK	-1.888333333	ENSG00000205133
TSKU	2.114	ENSG00000182704
TXN	1.664	ENSG00000136810
TXNRD1	5.444	ENSG00000198431
UACA	-1.7825	ENSG00000137831
UBQLN1	1.575	ENSG00000135018
USP16	-1.6075	ENSG00000156256
WWOX	-1.684	ENSG00000186153
YTHDC1	-1.7	ENSG00000083896
ZDHHC18	1.5	ENSG00000204160
ZKSCAN1	-1.985	ENSG00000106261
ZNF598	1.7075	ENSG00000167962
ZNF746	1.594	ENSG00000181220
ARHGAP5-AS1	1.9475	ENSG00000258655
FAM176A	-1.8625	ENSG00000115363
FAM208A	-1.748571429	ENSG00000282073
PQLC2	2.0125	ENSG00000040487
