GeneSymbol	log2FC	ENTREZID	SYMBOL	Description	Group	EnsemblID
ABAT	-0.835	18	ABAT	4-aminobutyrate aminotransferase	Amino acid metabolism	ENSG00000183044
ABCB11	-0.635	8647	ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	Cholesterol/Bile tansport and metabolism	ENSG00000073734
ABCB4	0.907	5244	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	Cholesterol/Bile tansport and metabolism	ENSG00000005471
ABCC2	0.504	1244	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	Cholesterol/Bile tansport and metabolism	ENSG00000023839
ABCG8	-0.429	64241	ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)	Cholesterol/Bile tansport and metabolism	ENSG00000143921
ACAA2	0.476	10449	ACAA2	acetyl-Coenzyme A acyltransferase 2	Mitochondrial ?-oxidation and oxidative phosphorylation	ENSG00000167315
ACADL	-0.43	33	ACADL	acyl-Coenzyme A dehydrogenase, long chain	Mitochondrial ?-oxidation and oxidative phosphorylation	ENSG00000115361
ACADVL	0.53	37	ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	Mitochondrial ?-oxidation and oxidative phosphorylation	ENSG00000072778
ACMSD	-0.48	130013	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Amino acid metabolism	ENSG00000153086
ACOT12	-0.413	134526	ACOT12	acyl-CoA thioesterase 12	AcylcoA formation hydrolysis and binding	ENSG00000172497
ACOT7	-0.477	11332	ACOT7	acyl-CoA thioesterase 7	AcylcoA formation hydrolysis and binding	ENSG00000097021
ACSL1	0.748	2180	ACSL1	acyl-CoA synthetase long-chain family member 1	AcylcoA formation hydrolysis and binding	ENSG00000151726
ACSL3	0.478	2181	ACSL3	acyl-CoA synthetase long-chain family member 3	AcylcoA formation hydrolysis and binding	ENSG00000123983
ACSL5	0.904	51703	ACSL5	acyl-CoA synthetase long-chain family member 5	AcylcoA formation hydrolysis and binding	ENSG00000197142
AGXT2	-0.863	64902	AGXT2	alanine-glyoxylate aminotransferase 2	Amino acid metabolism	ENSG00000113492
AKR1B10	0.51	57016	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	Biotransformation	ENSG00000198074
ANGPTL4	1.608	51129	ANGPTL4	angiopoietin-like 4	Lipoprotein uptake and metabolism	ENSG00000167772
APCS	-0.685	325	APCS	amyloid P component, serum	Inflammation	ENSG00000132703
APOA1	-0.437	335	APOA1	apolipoprotein A-I	Lipoprotein uptake and metabolism	ENSG00000118137
AQP7	0.564	364	AQP7	aquaporin 7	Glucose/glycerol tranport and metabolism	ENSG00000165269
ARG1	-0.68	383	ARG1	arginase, liver	Amino acid metabolism	ENSG00000118520
BDH1	-0.683	622	BDH1	3-hydroxybutyrate dehydrogenase, type 1	Ketogenesis and ketolysis	ENSG00000161267
CAV1	-0.79	857	CAV1	caveolin 1, caveolae protein, 22kDa	Cholesterol/Bile tansport and metabolism	ENSG00000105974
CBS	-0.481	875	CBS	cystathionine-beta-synthase	Amino acid metabolism	ENSG00000160200
CCL3	-1.105	6348	CCL3	chemokine (C-C motif) ligand 3	Inflammation	ENSG00000277632
CD14	0.728	929	CD14	CD14 molecule	Miscellanous	ENSG00000170458
CD36	1.499	948	CD36	CD36 molecule (thrombospondin receptor)	Lipid and hormone transport	ENSG00000135218
CIDEC	0.674	63924	CIDEC	cell death-inducing DFFA-like effector c	Lipase and lipid droplets	ENSG00000187288
CPT1A	1.527	1374	CPT1A	carnitine palmitoyltransferase 1A (liver)	Mitochondrial ?-oxidation and oxidative phosphorylation	ENSG00000110090
CPT2	0.647	1376	CPT2	carnitine palmitoyltransferase II	Mitochondrial ?-oxidation and oxidative phosphorylation	ENSG00000157184
CROT	-0.512	54677	CROT	carnitine O-octanoyltransferase	Peroxisomal ?-oxidation	ENSG00000005469
CXCL10	-1.426	3627	CXCL10	chemokine (C-X-C motif) ligand 10	Inflammation	ENSG00000169245
CYP1A1	0.416	1543	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	Biotransformation	ENSG00000140465
CYP27A1	-0.668	1593	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1	Cholesterol/Bile tansport and metabolism	ENSG00000135929
CYP2B6	0.52	1555	CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6	Biotransformation	ENSG00000197408
CYP3A7	0.44	1551	CYP3A7	cytochrome P450, family 3, subfamily A, polypeptide 4	Biotransformation	ENSG00000160870
CYP7A1	-1.063	1581	CYP7A1	cytochrome P450, family 7, subfamily A, polypeptide 1	Cholesterol/Bile tansport and metabolism	ENSG00000167910
CYP8B1	-0.428	1582	CYP8B1	cytochrome P450, family 8, subfamily B, polypeptide 1	Cholesterol/Bile tansport and metabolism	ENSG00000180432
