GeneSymbol	log2FC	ENTREZID	SYMBOL	NonHDACi.score	HDACi.score	std.dev	pc.mn	pc.sd	pc1	pc2	EnsemblID
ARHGAP8	1.316506158625	23779	ARHGAP8	-1.32446855526667	1.316506158625	1.9643136654923	-0.405868654782609	1.76503739916526	-0.117168131490452	-0.182582755149409	ENSG00000241484
ATF5	-2.213147980625	22809	ATF5	-0.190226171666667	-2.213147980625	1.50954286199922	-0.893851148695652	1.24698295408049	0.107504452742099	-0.258938654910902	ENSG00000169136
BHLHE40	-0.842012688125	8553	BHLHE40	0.817672627133333	-0.842012688125	1.49791954207381	0.240390778347826	1.10476273805473	0.105527604903287	0.0254526171126304	ENSG00000134107
BMF	1.382191977125	90427	BMF	-0.818542733466667	1.382191977125	1.67383378871455	-0.0530697906521739	1.41572190226138	-0.122501687967678	-0.0772288019611542	ENSG00000104081
CDCA8	-1.772891740125	55143	CDCA8	0.1125999096	-1.772891740125	1.67360916462948	-0.543223272913044	1.30321577391515	0.114282285991215	0.0481657373652629	ENSG00000134690
CDH2	0.938569017	1000	CDH2	-0.637782574333333	0.938569017	1.39054413102244	-0.0894863686521739	1.00475369036647	-0.122084039703954	-0.165299029532874	ENSG00000170558
CEL	-0.6773920965	1056	CEL	1.287045593	-0.6773920965	1.82156826026351	0.603762918391304	1.43482523031859	0.0926352004861624	-0.0159792097522138	ENSG00000170835
CES2	-1.024999139375	8824	CES2	0.153898495133333	-1.024999139375	1.1000017122421	-0.256152856	0.679982207041269	0.119881980811514	-0.138595294248969	ENSG00000172831
CGA	2.280185177875	1081	CGA	0.124199738266667	2.280185177875	1.64954138291221	0.87410771726087	1.38372223737997	-0.113586261586743	0.196671440200324	ENSG00000135346
COL11A1	1.32756281525	1301	COL11A1	-0.526941513533333	1.32756281525	1.60740564348935	0.118103470391304	1.24717076751795	-0.10350078139182	0.0397361165402994	ENSG00000060718
CRISP3	1.2410723905	10321	CRISP3	-0.471424623866667	1.2410723905	1.59849899941442	0.124226511565217	1.19181085081472	-0.0959095313397824	0.0956996753194787	ENSG00000096006
CTNNAL1	1.3084246475	8727	CTNNAL1	-0.112662090933333	1.3084246475	1.2129968004224	0.381628948521739	0.839256430524226	-0.119483540476908	0.0979025986212881	ENSG00000119326
CTSG	1.862677361	1511	CTSG	0.0262038245333333	1.862677361	1.70453456890732	0.664977228521739	1.30839671923633	-0.0967835497218565	0.222118142952943	ENSG00000100448
CTSS	-1.894299392	1520	CTSS	-0.1734107364	-1.894299392	1.38228257790529	-0.771980703565217	1.05458600430533	0.11069451901236	-0.213729792760208	ENSG00000163131
CYP1A1	2.78047438825	1543	CYP1A1	-0.4955479456	2.78047438825	2.62622193091881	0.643938083565217	2.4470725520581	-0.0964167515478929	-0.0902921500123892	ENSG00000140465
CYP2C19	-1.40905592025	1557	CYP2C19	-3.16773333333501e-6	-1.40905592025	1.27461967983527	-0.490108472956522	0.870097198673136	0.106263012227104	-0.0458176652511628	ENSG00000165841
CYP7A1	-5.344676607625	1581	CYP7A1	-1.99500590793333	-5.344676607625	2.15253566988821	-3.16010876	2.14490488877304	0.0913760195746779	-0.289133619325796	ENSG00000167910
DDB2	-0.452202686875	1643	DDB2	1.13527750406667	-0.452202686875	1.35699029419147	0.583110481130435	0.988155962073916	0.12535788147824	0.108164799376309	ENSG00000134574
DDIT3	-0.694187684125	1649	DDIT3	0.832089502266667	-0.694187684125	1.38130307715296	0.301210480913043	0.980337238099613	0.108373107058397	0.0658259750575691	ENSG00000175197
DMTN	-1.47599726325	2039	DMTN	0.0660972070666667	-1.47599726325	1.41602657022843	-0.47028347826087	1.00851044428071	0.104724758297896	-0.0682387210690239	ENSG00000158856
DNAJB9	-1.082071543125	4189	DNAJB9	0.217819438866667	-1.082071543125	1.22904844840281	-0.234316554869565	0.800801158449781	0.116445813503507	0.0317624291925963	ENSG00000128590
EVI2B	-2.18219498	2124	EVI2B	1.73049557413333	-2.18219498	2.26793950974709	0.369559729217391	2.42839016286216	0.127441658963305	0.0982011685738022	ENSG00000185862
FABP4	3.426253246875	2167	FABP4	-0.670471157733333	3.426253246875	1.84718002335358	0.75447646126087	2.27549537291232	-0.128958301932283	0.0538565770528929	ENSG00000170323
FAS	-0.79142711025	355	FAS	1.304140942	-0.79142711025	1.559202339058	0.575247706434783	1.30478358936647	0.130349045399337	0.154984309750473	ENSG00000026103
FIG4	1.125385705875	9896	FIG4	-0.246214104333333	1.125385705875	1.27459122202375	0.230864090521739	0.855769416897016	-0.120386551702421	-0.118789018040103	ENSG00000112367
G6PD	1.147423465875	2539	G6PD	-0.3995668964	1.147423465875	1.42784530433963	0.138516707869565	1.01801719074052	-0.119860800196302	-0.139669307584185	ENSG00000160211
