GeneSymbol	log2FC	ENTREZID	SYMBOL	EnsemblID
APBA1	1.74	320	APBA1	ENSG00000107282
APOL2	-1.58	23780	APOL2	ENSG00000128335
ATRNL1	1.54	26033	ATRNL1	ENSG00000107518
BMPR1B	-1.99	658	BMPR1B	ENSG00000138696
CACNA1G	1.78	8913	CACNA1G	ENSG00000006283
CAPN11	2.38	11131	CAPN11	ENSG00000137225
CDK19	0.83	23097	CDK19	ENSG00000155111
CELSR1	-0.81	9620	CELSR1	ENSG00000075275
CFLAR	-2.57	8837	CFLAR	ENSG00000003402
DOT1L	-0.75	84444	DOT1L	ENSG00000104885
EEF1A1	-0.22	1915	EEF1A1	ENSG00000156508
EPB41	0.68	2035	EPB41	ENSG00000159023
EXOG	-0.46	9941	EXOG	ENSG00000157036
FAHD2A	0.66	51011	FAHD2A	ENSG00000115042
GALNT3	-0.64	2591	GALNT3	ENSG00000115339
GJA3	2.95	2700	GJA3	ENSG00000121743
GNAO1	1.85	2775	GNAO1	ENSG00000087258
GUCY1A2	-1.19	2977	GUCY1A2	ENSG00000152402
HEYL	2.11	26508	HEYL	ENSG00000163909
HNMT	-1.16	3176	HNMT	ENSG00000150540
HR	-2.5	55806	HR	ENSG00000168453
HRH3	3.59	11255	HRH3	ENSG00000101180
IGF1R	-1.64	3480	IGF1R	ENSG00000140443
ITPK1	-0.39	3705	ITPK1	ENSG00000100605
ITSN2	-0.71	50618	ITSN2	ENSG00000198399
KSR1	1.59	8844	KSR1	ENSG00000141068
LRP1	0.96	4035	LRP1	ENSG00000123384
MAU2	-1.12	23383	MAU2	ENSG00000129933
MTMR7	1.87	9108	MTMR7	ENSG00000003987
MTRF1L	0.53	54516	MTRF1L	ENSG00000112031
MTSS1	1.52	9788	MTSS1	ENSG00000170873
NCAM1	2.13	4684	NCAM1	ENSG00000149294
NUP88	-0.53	4927	NUP88	ENSG00000108559
OGT	-0.62	8473	OGT	ENSG00000147162
PBRM1	-1.09	55193	PBRM1	ENSG00000163939
PHF3	0.42	23469	PHF3	ENSG00000118482
PLCB1	-0.72	23236	PLCB1	ENSG00000182621
RAI1	-3.18	10743	RAI1	ENSG00000108557
RIF1	-1.03	55183	RIF1	ENSG00000080345
SMOX	0.89	54498	SMOX	ENSG00000088826
TACSTD2	-0.64	4070	TACSTD2	ENSG00000184292
TMEM259	-0.51	91304	TMEM259	ENSG00000182087
USH1C	1.58	10083	USH1C	ENSG00000006611
USP22	-0.76	23326	USP22	ENSG00000124422
UTY	1.54	7404	UTY	ENSG00000183878
VAV2	-0.94	7410	VAV2	ENSG00000160293
ZNF460	-0.93	10794	ZNF460	ENSG00000197714
MLLT4	0.57	4301	AFDN	ENSG00000130396
THEG	-3.25	51298	SPMAP2	ENSG00000105549
