"ID"	"GENE_SYMBOL"	"ENTREZ_ID"	"Genotoxic.score"	"Non.Genotoxic.score"	"stdev"	"PC1"	"PC2"	"PC.mn"	"PC.std"	"X5.FU"	"AraC"	"Bleomycin"	"Camptothecin"	"Cisp"	"Etoposide"	"Hydrogen.Peroxide"	"Hydroxyurea"	"Methotrexate"	"MMS"	"Potassium.Chromate..VI."	"Sodium.Arsenite"	"X.ray"	"X2.deoxy.D.glucose..2.DG."	"Aapicidin"	"Antimycin.A"	"Cadmium.Chloride"	"Colchicine"	"Docetaxel"	"EtOH.2."	"EtOH.4."	"HC.toxin"	"Heat.Shock"	"Oxamflatin"	"Paclitaxel"	"Thapsigargin"	"TSA"	"Tunicamysin"	"Vinblastin"
"ACTA2"	"ACTA2"	59	0.3895	-0.3296	0.198403136	-0.0931217703381756	0.0975621136221921	0.285304546674291	0.435230567526858	0.001926613	0.15453229	0.290304873	0.084226878	0.190019716	0.182649788	0.333947243	0.088884153	0.04201524	0.155649529	0.122013608	0.483750095	0.177082162	-0.051982791	-0.023987106	0.193707982	0.063819649	-0.086609175	0.019175909	0.058031018	-0.093971372	0.029624282	0.037731627	0.040061885	-0.045086879	0.032473665	0.04542313	0.051733543	-0.086475988
"AEN"	"AEN"	64782	0.8952	-0.7575	0.216786892	-0.152348095017392	0.00768685433473227	0.234988312947214	0.688232604030204	0.178590419	0.388652639	0.431461447	0.308173836	0.229341104	0.18617159	0.20786817	0.34063038	0.06624174	0.259343513	0.244738397	0.363514129	0.303085468	0.004654002	-0.290059676	-0.135618103	-0.10567113	-0.039064716	-0.010360068	-0.143382704	0.02364665	-0.209973761	-0.147272586	-0.231406828	-0.008294093	-0.006820003	-0.145746124	0.037081185	-0.048107483
"ARRDC4"	"ARRDC4"	91947	0.554	-0.4688	0.269665846	-0.129126883132508	0.0874491519490443	0.367157037180164	0.650909690571483	0.062890206	0.437841105	0.562620659	0.15453652	0.221790918	0.35340581	0.660171818	0.21670471	-0.025824791	0.015602138	0.276977117	0.106730514	0.29218601	-0.054585572	-0.057408044	0.032062475	-0.033306305	-0.001222829	0.041226573	0	0	0.05049294	0.036194355	0.011657169	0.085931522	0.038014873	-0.170058519	-0.099943812	-0.009454402
"B3GNT2"	"B3GNT2"	10678	-0.513	0.434	0.243409901	0.112949147471718	0.0818901637696086	-0.0192506043527176	0.624611034541117	-0.185059781	-0.076156199	-0.083427855	-0.309204309	-0.324415917	-0.152028014	0.035442252	-0.061849797	-0.159565958	-0.250317906	-0.230571357	0.150203184	-0.139672601	0.183426911	0.121134754	0.430345975	0.395513925	0.01187637	-0.009685783	0.193981701	0.048972436	0.112749465	-0.210545624	0.091060189	-0.046823255	0.054831136	0.045089957	0.166766639	0.029874191
"BLOC1S2"	"BLOC1S2"	282991	0.9074	-0.7678	0.182310618	-0.15376562896466	0.0416924919662887	0.356569761272127	0.56600321176598	0.286160282	0.324303961	0.350870191	0.270117358	0.323284353	0.342281404	0.123548155	0.257937422	0.130926588	0.197239543	0.200450793	0.423659133	0.346799043	-0.019693356	-0.137310906	-0.064866505	-0.055726684	-0.026953512	0.01749299	0.067986003	0.002604668	-0.11351253	-0.071479444	-0.090814342	-0.017738155	0.071094442	-0.023232035	-0.005204823	0.00258358
"BRMS1L"	"BRMS1L"	84312	0.509	-0.4307	0.218519521	-0.125324819137471	0.0289015981756736	0.258705142634513	0.452493347229446	0.162307014	0.311533243	0.336202728	0.196430777	0.174226535	0.219656289	-0.001075049	0.269419377	0.087587139	-0.031322724	0.08439539	0.099344464	0.281434242	-0.09573488	0.040629434	-0.183728898	0.169306245	-0.05486079	0.000304005	0.160673181	0.036326838	0.141594532	-0.091383742	0.078267652	-0.068111044	0.033499354	0.068103068	-0.116220847	-0.050341302
"BTG2"	"BTG2"	7832	0.8538	-0.7224	0.206901972	-0.14048461286332	0.0642748345773671	0.621540348843145	0.628787065258696	0.505451195	0.381445467	0.512381756	0.36064465	0.511788023	0.235598678	0.434196792	0.38363491	0.369698902	0.224611184	0.338167603	0.205071308	0.294563046	-0.124779764	0.221009717	0.040529348	-0.011446282	0.088498218	-0.032237576	0.020498891	-0.08104722	0.140601516	0.038709068	0.130279197	0.01485034	0.048393585	0.01495688	0.027403568	0.132493367
"C12orf5"	"TIGAR"	57103	0.6351	-0.5374	0.225288872	-0.140468178434318	0.098356866679736	0.395070858635696	0.570991078116908	0.351422729	0.399156847	0.459515463	0.291340007	0.254220994	0.294672904	0.070198256	0.372829009	0.053039364	0.143224643	0.196853202	0.236992054	0.348715807	-0.064526826	0.174435876	-0.114888657	-0.133001571	-0.009449433	0.007013043	-0.028208031	-0.01862816	0.158590455	-0.113837388	0.120314066	-0.024653897	-0.038579093	0.029952654	0.000759979	0.031442891
"CBLB"	"CBLB"	868	-0.617	0.5221	0.182955208	0.129353574711447	0.0490001834003111	-0.0743964612708951	0.415886390047415	-0.067954472	-0.079736213	-0.047924416	-0.374783796	-0.133016163	-0.104218115	-0.047789517	-0.106520506	-0.108800128	-0.13561992	-0.222905163	0.005943672	-0.161558274	0.120198961	0.094676855	0.080066408	0.056773648	0.106696325	0.051155134	-0.15548372	-0.058605299	0.044482711	-0.025955311	0.12477765	0.031681625	0.135377856	0.068463463	0.145525698	0.115579581
"CCP110"	"CCP110"	9738	0.6383	-0.5401	0.174623413	-0.151725577882041	0.0208233830613985	0.21369178554441	0.390070282423254	0.181497592	0.281929168	0.273663828	0.211966075	0.212400695	0.150960793	0.111809915	0.257652558	0.070912718	0.156387774	0.049095385	0.13498564	0.146946107	-0.044911405	0.00613919	-0.164900776	-0.050704018	0.044836278	-0.005885903	0.007672015	-0.086350005	-0.010960245	-0.113551657	0.014638716	0.002295587	0.023102579	-0.003643156	-0.00452136	0.012037393
