GeneSymbol	log2FC	ENTREZID	SYMBOL	Genotoxic.score	Non.Genotoxic.score	my.train.sd	EntrezID	EnsemblID
ACTA2	1.29389099295863	59	ACTA2	0.3895	-0.3296	0.198403136	59	ENSG00000107796
AEN	2.97379003054317	64782	AEN	0.8952	-0.7575	0.216786892	64782	ENSG00000181026
ARRDC4	1.8403481645676	91947	ARRDC4	0.554	-0.4688	0.269665846	91947	ENSG00000140450
B3GNT2	-1.70414911267722	10678	B3GNT2	-0.513	0.434	0.243409901	10678	ENSG00000170340
BLOC1S2	3.01431755330079	282991	BLOC1S2	0.9074	-0.7678	0.182310618	282991	ENSG00000196072
BRMS1L	1.69086140029767	84312	BRMS1L	0.509	-0.4307	0.218519521	84312	ENSG00000100916
BTG2	2.83626220741483	7832	BTG2	0.8538	-0.7224	0.206901972	7832	ENSG00000159388
CBLB	-2.0496296345455	868	CBLB	-0.617	0.5221	0.182955208	868	ENSG00000114423
CCP110	2.1203867029666	9738	CCP110	0.6383	-0.5401	0.174623413	9738	ENSG00000103540
CDKN1A	2.33232571542042	1026	CDKN1A	0.7021	-0.5941	0.243437029	1026	ENSG00000124762
CEBPD	1.66794009644294	1052	CEBPD	0.5021	-0.4249	0.327948833	1052	ENSG00000221869
CENPE	-1.81443712542748	1062	CENPE	-0.5462	0.4621	0.203300429	1062	ENSG00000138778
COIL	1.41015847627969	8161	COIL	0.4245	-0.3592	0.273188589	8161	ENSG00000121058
DAAM1	-1.8934990140858	23002	DAAM1	-0.57	0.4823	0.257656765	23002	ENSG00000100592
DCP1B	2.53429894358957	196513	DCP1B	0.7629	-0.6455	0.161300043	196513	ENSG00000151065
DDB2	2.89572472031331	1643	DDB2	0.8717	-0.7376	0.181249754	1643	ENSG00000134574
DUSP14	1.65398799844442	11072	DUSP14	0.4979	-0.4213	0.18107769	11072	ENSG00000276023
E2F7	3.13357477190725	144455	E2F7	0.9433	-0.7982	0.190295356	144455	ENSG00000165891
E2F8	2.22436305233658	79733	E2F8	0.6696	-0.5666	0.236683428	79733	ENSG00000129173
EI24	1.81011861890412	9538	EI24	0.5449	-0.4611	0.174471691	9538	ENSG00000149547
FBXO22	2.30874002594672	26263	FBXO22	0.695	-0.5881	0.15752166	26263	ENSG00000167196
GADD45A	2.14496897086877	1647	GADD45A	0.6457	-0.5464	0.242664719	1647	ENSG00000116717
GXYLT1	1.22213734610906	283464	GXYLT1	0.3679	-0.3113	0.157334198	283464	ENSG00000151233
ID2	-1.69949841334437	3398	ID2	-0.5116	0.4329	0.275496757	3398	ENSG00000115738
IKBIP	2.07753383054256	121457	IKBIP	0.6254	-0.5292	0.197972132	121457	ENSG00000166130
ITPKC	1.52742253802921	80271	ITPKC	0.4598	-0.3891	0.169549782	80271	ENSG00000086544
ITPR1	-1.90180383432302	3708	ITPR1	-0.5725	0.4844	0.232773223	3708	ENSG00000150995
LCE1E	2.33697641475326	353135	LCE1E	0.7035	-0.5952	0.312416332	353135	ENSG00000186226
LRRFIP2	-1.71012858324801	9209	LRRFIP2	-0.5148	0.4356	0.203927825	9209	ENSG00000093167
MDM2	2.68112816538359	4193	MDM2	0.8071	-0.6829	0.196903887	4193	ENSG00000135679
MEX3B	1.51646017531608	84206	MEX3B	0.4565	-0.3863	0.218491011	84206	ENSG00000183496
NLRX1	1.55831646931166	79671	NLRX1	0.4691	-0.397	0.208257531	79671	ENSG00000160703
PCDH8	2.75321400504265	5100	PCDH8	0.8288	-0.7013	0.258922159	5100	ENSG00000136099
PHLDA3	3.40796603254495	23612	PHLDA3	1.0259	-0.8681	0.211442463	23612	ENSG00000174307
PLK3	1.55300138435984	1263	PLK3	0.4675	-0.3956	0.256450066	1263	ENSG00000173846
